#{"t_start": 1642525102.3269677, "env_id": "Ataxx-v0"}
r,l,t
-1.0,3,8.064346
-1.0,3,8.067962
-1.0,2,8.070823
-1.0,1,8.071909
-1,3,8.080766
-1.0,3,8.085358
-1.0,5,8.099101
-1.0,6,8.109094
-1.0,2,8.112092
-1.0,6,8.122274
-1.0,2,8.125388
-1,1,8.126413
-1.0,2,8.129178
-1.0,3,8.13323
-1,1,8.134385
-1.0,1,8.13548
-1.0,2,8.137945
-1.0,2,8.140463
-1.0,1,8.14327
-1.0,2,8.146278
-1.0,5,8.153547
-1.0,2,8.155897
-1.0,1,8.157829
-1,2,8.160764
-1.0,1,8.161893
-1,3,8.166125
-1.0,4,8.171789
-1.0,2,8.174138
-1.0,3,8.178586
-1.0,2,8.180989
-1,1,8.181972
-1.0,5,8.19095
-1,1,8.192442
-1.0,3,8.196351
-1.0,7,8.209496
-1.0,4,8.216363
-1.0,1,8.217516
-1.0,1,8.218585
-1.0,3,8.222626
-1.0,2,8.22768
-1.0,4,8.233816
-1,2,8.236206
-1.0,3,8.240318
-1.0,1,8.241456
-1.0,3,8.245553
-1,1,8.246562
-1.0,2,8.248935
-1.0,2,8.251913
-1.0,2,8.254325
-1.0,6,8.263864
-1.0,1,8.265007
-1.0,7,8.277164
-1,5,8.287395
-1.0,3,8.292932
-1.0,5,8.301268
-1.0,3,8.305022
-1.0,2,8.30752
-1.0,5,8.31633
-1.0,1,8.317581
-1.0,2,8.319946
-1.0,4,8.326751
-1.0,4,8.333025
-1.0,4,8.339019
-1.0,2,8.343488
-1.0,1,8.345757
-1.0,3,8.351179
-1.0,1,8.352357
-1.0,1,8.353637
-1,2,8.356063
-1.0,4,8.368499
-1.0,2,8.371308
-1.0,3,8.375565
-1.0,1,8.376839
-1.0,3,8.381617
-1.0,2,8.384146
-1.0,1,8.38525
-1.0,4,8.391161
-1.0,3,8.395201
-1.0,2,8.398189
-1.0,3,8.402096
-1.0,1,8.403217
-1.0,3,8.408617
-1.0,2,8.412489
-1.0,4,8.418457
-1.0,2,8.421241
-1.0,5,8.430943
-1.0,3,8.435618
-1.0,1,8.436773
-1.0,1,8.438213
-1.0,2,8.440778
-1.0,2,8.443229
-1.0,5,8.452178
-1.0,1,8.453437
-1.0,3,8.459435
-1.0,2,8.462008
-1.0,6,8.472584
-1.0,3,8.480664
-1.0,4,8.48703
-1.0,4,8.494899
